Test Case,Latency (seconds)
This is completely false news,0.23234105110168457
This is completely false news,0.10605072975158691
This is completely false news,0.3124690055847168
This is completely false news,0.11435699462890625
This is completely false news,0.11142587661743164
This is completely false news,0.1720750331878662
This is completely false news,0.1936960220336914
This is completely false news,0.10628604888916016
This is completely false news,0.13250398635864258
This is completely false news,0.21838998794555664
This is completely false news,0.10269403457641602
This is completely false news,0.14254188537597656
This is completely false news,0.1093602180480957
This is completely false news,0.17171502113342285
This is completely false news,0.10833215713500977
This is completely false news,0.10425877571105957
This is completely false news,0.1558680534362793
This is completely false news,0.15518808364868164
This is completely false news,0.10620522499084473
This is completely false news,0.13670015335083008
This is completely false news,0.10209369659423828
This is completely false news,0.17963385581970215
This is completely false news,0.10633516311645508
This is completely false news,0.12287306785583496
This is completely false news,0.10383415222167969
This is completely false news,0.19032883644104004
This is completely false news,0.1118309497833252
This is completely false news,0.13040900230407715
This is completely false news,0.13159823417663574
This is completely false news,0.1517798900604248
This is completely false news,0.1389460563659668
This is completely false news,0.13187623023986816
This is completely false news,0.10993576049804688
This is completely false news,0.14410805702209473
This is completely false news,0.11158490180969238
This is completely false news,0.15603923797607422
This is completely false news,0.10162925720214844
This is completely false news,0.1547081470489502
This is completely false news,0.10293388366699219
This is completely false news,0.10014891624450684
This is completely false news,0.13385605812072754
This is completely false news,0.18541288375854492
This is completely false news,0.14090299606323242
This is completely false news,0.10066699981689453
This is completely false news,0.10374999046325684
This is completely false news,0.179642915725708
This is completely false news,0.11078906059265137
This is completely false news,0.10859990119934082
This is completely false news,0.1044468879699707
This is completely false news,0.10468506813049316
This is completely false news,0.19754385948181152
This is completely false news,0.12624192237854004
This is completely false news,0.1064000129699707
This is completely false news,0.1898212432861328
This is completely false news,0.1061391830444336
This is completely false news,0.10960888862609863
This is completely false news,0.11996579170227051
This is completely false news,0.19000697135925293
This is completely false news,0.11279511451721191
This is completely false news,0.15671801567077637
This is completely false news,0.1305999755859375
This is completely false news,0.19490408897399902
This is completely false news,0.13394570350646973
This is completely false news,0.14422297477722168
This is completely false news,0.17817902565002441
This is completely false news,0.09856986999511719
This is completely false news,0.09897303581237793
This is completely false news,0.10327887535095215
This is completely false news,0.2242298126220703
This is completely false news,0.10944604873657227
This is completely false news,0.10188961029052734
This is completely false news,0.12830519676208496
This is completely false news,0.1831960678100586
This is completely false news,0.10227108001708984
This is completely false news,0.09608221054077148
This is completely false news,0.09543776512145996
This is completely false news,0.12875008583068848
This is completely false news,0.17418718338012695
This is completely false news,0.1447141170501709
This is completely false news,0.11463785171508789
This is completely false news,0.19241905212402344
This is completely false news,0.13014006614685059
This is completely false news,0.12992215156555176
This is completely false news,0.11734127998352051
This is completely false news,0.23052406311035156
This is completely false news,0.10877704620361328
This is completely false news,0.1103818416595459
This is completely false news,0.10819411277770996
This is completely false news,0.16953182220458984
This is completely false news,0.10192108154296875
This is completely false news,0.09979605674743652
This is completely false news,0.12340998649597168
This is completely false news,0.28901076316833496
This is completely false news,0.10150790214538574
This is completely false news,0.12636113166809082
This is completely false news,0.15054702758789062
This is completely false news,0.10385584831237793
This is completely false news,0.10149693489074707
This is completely false news,0.10165286064147949
This is completely false news,0.10678601264953613
This is a real news story about politics,0.1786808967590332
This is a real news story about politics,0.10620331764221191
This is a real news story about politics,0.2948029041290283
This is a real news story about politics,0.12946295738220215
This is a real news story about politics,0.14445209503173828
This is a real news story about politics,0.27864599227905273
This is a real news story about politics,0.11858320236206055
This is a real news story about politics,0.12552666664123535
This is a real news story about politics,0.1713881492614746
This is a real news story about politics,0.13166594505310059
This is a real news story about politics,0.1033928394317627
This is a real news story about politics,0.10339927673339844
This is a real news story about politics,0.1888291835784912
This is a real news story about politics,0.14052891731262207
This is a real news story about politics,0.14336299896240234
This is a real news story about politics,0.1106419563293457
This is a real news story about politics,0.18668413162231445
This is a real news story about politics,0.11429095268249512
This is a real news story about politics,0.14404797554016113
This is a real news story about politics,0.09932327270507812
This is a real news story about politics,0.16664719581604004
This is a real news story about politics,0.11041498184204102
This is a real news story about politics,0.1008000373840332
This is a real news story about politics,0.10466837882995605
This is a real news story about politics,0.14988970756530762
This is a real news story about politics,0.12184405326843262
This is a real news story about politics,0.12190794944763184
This is a real news story about politics,0.12927579879760742
This is a real news story about politics,0.15078115463256836
This is a real news story about politics,0.10065102577209473
This is a real news story about politics,0.10631203651428223
This is a real news story about politics,0.11762499809265137
This is a real news story about politics,0.20154094696044922
This is a real news story about politics,0.15098810195922852
This is a real news story about politics,0.10962581634521484
This is a real news story about politics,0.11169886589050293
This is a real news story about politics,0.14999699592590332
This is a real news story about politics,0.12633872032165527
This is a real news story about politics,0.12615704536437988
This is a real news story about politics,0.10856890678405762
This is a real news story about politics,0.16785907745361328
This is a real news story about politics,0.1264970302581787
This is a real news story about politics,0.10924410820007324
This is a real news story about politics,0.10078096389770508
This is a real news story about politics,0.18761086463928223
This is a real news story about politics,0.09914898872375488
This is a real news story about politics,0.12710309028625488
This is a real news story about politics,0.0963139533996582
This is a real news story about politics,0.10483789443969727
This is a real news story about politics,0.20110630989074707
This is a real news story about politics,0.10769176483154297
This is a real news story about politics,0.10263609886169434
This is a real news story about politics,0.1060647964477539
This is a real news story about politics,0.16330695152282715
This is a real news story about politics,0.10497212409973145
This is a real news story about politics,0.12900710105895996
This is a real news story about politics,0.10666203498840332
This is a real news story about politics,0.19625401496887207
This is a real news story about politics,0.10473012924194336
This is a real news story about politics,0.10371780395507812
This is a real news story about politics,0.09773707389831543
This is a real news story about politics,0.1455061435699463
This is a real news story about politics,0.12431502342224121
This is a real news story about politics,0.11672592163085938
This is a real news story about politics,0.47297191619873047
This is a real news story about politics,0.11258697509765625
This is a real news story about politics,0.4729008674621582
This is a real news story about politics,0.5708568096160889
This is a real news story about politics,0.42307496070861816
This is a real news story about politics,0.5249371528625488
This is a real news story about politics,0.1413891315460205
This is a real news story about politics,0.9063658714294434
This is a real news story about politics,0.14247608184814453
This is a real news story about politics,0.46077990531921387
This is a real news story about politics,0.549091100692749
This is a real news story about politics,0.42406678199768066
This is a real news story about politics,0.19829988479614258
This is a real news story about politics,0.2051868438720703
This is a real news story about politics,0.20432305335998535
This is a real news story about politics,0.11531782150268555
This is a real news story about politics,0.22736406326293945
This is a real news story about politics,0.23145818710327148
This is a real news story about politics,0.19829106330871582
This is a real news story about politics,0.19098591804504395
This is a real news story about politics,0.11901593208312988
This is a real news story about politics,0.21431708335876465
This is a real news story about politics,0.19233202934265137
This is a real news story about politics,0.12302207946777344
This is a real news story about politics,0.2062358856201172
This is a real news story about politics,0.19412493705749512
This is a real news story about politics,0.10914993286132812
This is a real news story about politics,0.10486006736755371
This is a real news story about politics,0.19361281394958496
This is a real news story about politics,0.19125080108642578
This is a real news story about politics,0.14438104629516602
This is a real news story about politics,0.19567370414733887
This is a real news story about politics,0.5042197704315186
This is a real news story about politics,0.2044668197631836
This is a real news story about politics,0.1226341724395752
This is a real news story about politics,0.19519686698913574
A fabricated story about the economy,0.23091983795166016
A fabricated story about the economy,0.13957810401916504
A fabricated story about the economy,0.20422911643981934
A fabricated story about the economy,0.10728883743286133
A fabricated story about the economy,0.10647916793823242
A fabricated story about the economy,0.10442090034484863
A fabricated story about the economy,0.20188689231872559
A fabricated story about the economy,0.11097311973571777
A fabricated story about the economy,0.1017601490020752
A fabricated story about the economy,0.11113691329956055
A fabricated story about the economy,0.19843316078186035
A fabricated story about the economy,0.10489010810852051
A fabricated story about the economy,0.10926985740661621
A fabricated story about the economy,0.10558509826660156
A fabricated story about the economy,0.1849360466003418
A fabricated story about the economy,0.1322629451751709
A fabricated story about the economy,0.15831208229064941
A fabricated story about the economy,0.14822125434875488
A fabricated story about the economy,0.12865805625915527
A fabricated story about the economy,0.11711382865905762
A fabricated story about the economy,0.14121103286743164
A fabricated story about the economy,0.218580961227417
A fabricated story about the economy,0.10310697555541992
A fabricated story about the economy,0.16564583778381348
A fabricated story about the economy,0.17823004722595215
A fabricated story about the economy,0.09957695007324219
A fabricated story about the economy,0.12556219100952148
A fabricated story about the economy,0.10482478141784668
A fabricated story about the economy,0.19183111190795898
A fabricated story about the economy,0.14618206024169922
A fabricated story about the economy,0.12145614624023438
A fabricated story about the economy,0.10996484756469727
A fabricated story about the economy,0.1478579044342041
A fabricated story about the economy,0.12105107307434082
A fabricated story about the economy,0.10019302368164062
A fabricated story about the economy,0.12505292892456055
A fabricated story about the economy,0.17604494094848633
A fabricated story about the economy,0.1072549819946289
A fabricated story about the economy,0.11004304885864258
A fabricated story about the economy,0.10462307929992676
A fabricated story about the economy,0.20463895797729492
A fabricated story about the economy,0.12103414535522461
A fabricated story about the economy,0.10490608215332031
A fabricated story about the economy,0.1301579475402832
A fabricated story about the economy,0.3635063171386719
A fabricated story about the economy,0.10472822189331055
A fabricated story about the economy,0.4196207523345947
A fabricated story about the economy,0.524075984954834
A fabricated story about the economy,0.145158052444458
A fabricated story about the economy,0.44230103492736816
A fabricated story about the economy,0.46129488945007324
A fabricated story about the economy,0.1403641700744629
A fabricated story about the economy,0.44089603424072266
A fabricated story about the economy,0.4687838554382324
A fabricated story about the economy,0.10842370986938477
A fabricated story about the economy,0.489307165145874
A fabricated story about the economy,0.5252268314361572
A fabricated story about the economy,0.4451420307159424
A fabricated story about the economy,0.36259889602661133
A fabricated story about the economy,0.12566494941711426
A fabricated story about the economy,0.11346077919006348
A fabricated story about the economy,0.25779199600219727
A fabricated story about the economy,0.11931109428405762
A fabricated story about the economy,0.13853168487548828
A fabricated story about the economy,0.14740610122680664
A fabricated story about the economy,0.17885422706604004
A fabricated story about the economy,0.20280003547668457
A fabricated story about the economy,0.1358509063720703
A fabricated story about the economy,0.19498181343078613
A fabricated story about the economy,0.2001349925994873
A fabricated story about the economy,0.10881304740905762
A fabricated story about the economy,0.14790606498718262
A fabricated story about the economy,0.19261503219604492
A fabricated story about the economy,0.10801482200622559
A fabricated story about the economy,0.11070013046264648
A fabricated story about the economy,0.19031000137329102
A fabricated story about the economy,0.1859142780303955
A fabricated story about the economy,0.1157231330871582
A fabricated story about the economy,0.14501690864562988
A fabricated story about the economy,0.19078683853149414
A fabricated story about the economy,0.10514307022094727
A fabricated story about the economy,0.22624993324279785
A fabricated story about the economy,0.19443583488464355
A fabricated story about the economy,0.1066138744354248
A fabricated story about the economy,0.09914994239807129
A fabricated story about the economy,0.19355392456054688
A fabricated story about the economy,0.21273207664489746
A fabricated story about the economy,0.12665700912475586
A fabricated story about the economy,0.179307222366333
A fabricated story about the economy,0.2360210418701172
A fabricated story about the economy,0.12389683723449707
A fabricated story about the economy,0.17883682250976562
A fabricated story about the economy,0.10239696502685547
A fabricated story about the economy,0.11078286170959473
A fabricated story about the economy,0.12943720817565918
A fabricated story about the economy,0.1798381805419922
A fabricated story about the economy,0.10394763946533203
A fabricated story about the economy,0.10517191886901855
A fabricated story about the economy,0.09669303894042969
A fabricated story about the economy,0.14673519134521484
A true story about technological advancement,0.1360793113708496
A true story about technological advancement,0.11192607879638672
A true story about technological advancement,0.15138506889343262
A true story about technological advancement,0.19321608543395996
A true story about technological advancement,0.09952521324157715
A true story about technological advancement,0.10235595703125
A true story about technological advancement,0.10503506660461426
A true story about technological advancement,0.1458420753479004
A true story about technological advancement,0.10848379135131836
A true story about technological advancement,0.11249470710754395
A true story about technological advancement,0.10235404968261719
A true story about technological advancement,0.09977483749389648
A true story about technological advancement,0.17496871948242188
A true story about technological advancement,0.1042637825012207
A true story about technological advancement,0.11893701553344727
A true story about technological advancement,0.10148978233337402
A true story about technological advancement,0.18963003158569336
A true story about technological advancement,0.10115289688110352
A true story about technological advancement,0.12498307228088379
A true story about technological advancement,0.13336920738220215
A true story about technological advancement,0.1770937442779541
A true story about technological advancement,0.14423394203186035
A true story about technological advancement,0.10437297821044922
A true story about technological advancement,0.09753608703613281
A true story about technological advancement,0.16255593299865723
A true story about technological advancement,0.10770106315612793
A true story about technological advancement,0.09672808647155762
A true story about technological advancement,0.09859514236450195
A true story about technological advancement,0.16158604621887207
A true story about technological advancement,0.14743614196777344
A true story about technological advancement,0.15138888359069824
A true story about technological advancement,0.225999116897583
A true story about technological advancement,0.12704181671142578
A true story about technological advancement,0.13391399383544922
A true story about technological advancement,0.09749293327331543
A true story about technological advancement,0.4543309211730957
A true story about technological advancement,0.49715590476989746
A true story about technological advancement,0.4545421600341797
A true story about technological advancement,0.09885478019714355
A true story about technological advancement,0.4944589138031006
A true story about technological advancement,0.09734010696411133
A true story about technological advancement,0.42024922370910645
A true story about technological advancement,0.5451090335845947
A true story about technological advancement,0.4424149990081787
A true story about technological advancement,0.5242559909820557
A true story about technological advancement,0.1056528091430664
A true story about technological advancement,0.42347025871276855
A true story about technological advancement,0.10472822189331055
A true story about technological advancement,0.5257108211517334
A true story about technological advancement,0.22089695930480957
A true story about technological advancement,0.10608887672424316
A true story about technological advancement,0.10644197463989258
A true story about technological advancement,0.12455511093139648
A true story about technological advancement,0.18700599670410156
A true story about technological advancement,0.09937477111816406
A true story about technological advancement,0.2256932258605957
A true story about technological advancement,0.1993699073791504
A true story about technological advancement,0.10126686096191406
A true story about technological advancement,0.19449186325073242
A true story about technological advancement,0.09672904014587402
A true story about technological advancement,0.18769001960754395
A true story about technological advancement,0.13748788833618164
A true story about technological advancement,0.10216927528381348
A true story about technological advancement,0.11318802833557129
A true story about technological advancement,0.20127105712890625
A true story about technological advancement,0.19118618965148926
A true story about technological advancement,0.0993189811706543
A true story about technological advancement,0.14970612525939941
A true story about technological advancement,0.19161772727966309
A true story about technological advancement,0.11248898506164551
A true story about technological advancement,0.2193138599395752
A true story about technological advancement,0.19255995750427246
A true story about technological advancement,0.10199785232543945
A true story about technological advancement,0.13802504539489746
A true story about technological advancement,0.19002699851989746
A true story about technological advancement,0.20981192588806152
A true story about technological advancement,0.10021495819091797
A true story about technological advancement,0.18301916122436523
A true story about technological advancement,0.17933011054992676
A true story about technological advancement,0.1056668758392334
A true story about technological advancement,0.17386198043823242
A true story about technological advancement,0.12307381629943848
A true story about technological advancement,0.10222911834716797
A true story about technological advancement,0.10074591636657715
A true story about technological advancement,0.10517501831054688
A true story about technological advancement,0.19849896430969238
A true story about technological advancement,0.14238810539245605
A true story about technological advancement,0.10157108306884766
A true story about technological advancement,0.17772197723388672
A true story about technological advancement,0.11924505233764648
A true story about technological advancement,0.13431119918823242
A true story about technological advancement,0.10606169700622559
A true story about technological advancement,0.16369295120239258
A true story about technological advancement,0.10371994972229004
A true story about technological advancement,0.10453200340270996
A true story about technological advancement,0.10426807403564453
A true story about technological advancement,0.21642780303955078
A true story about technological advancement,0.13394808769226074
A true story about technological advancement,0.12826776504516602
A true story about technological advancement,0.10202908515930176
